airforceblueraf,"Air Force Blue (Raf)",#5d8aa8,93,138,168
airforceblueusaf,"Air Force Blue (Usaf)",#00308f,0,48,143
airsuperiorityblue,"Air Superiority Blue",#72a0c1,114,160,193
alabamacrimson,"Alabama Crimson",#a32638,163,38,56
aliceblue,"Alice Blue",#f0f8ff,240,248,255
alizarincrimson,"Alizarin Crimson",#e32636,227,38,54
alloyorange,"Alloy Orange",#c46210,196,98,16
almond,"Almond",#efdecd,239,222,205
amaranth,"Amaranth",#e52b50,229,43,80
amber,"Amber",#ffbf00,255,191,0
ambersaeece,"Amber (Sae/Ece)",#ff7e00,255,126,0
americanrose,"American Rose",#ff033e,255,3,62
amethyst,"Amethyst",#96c,153,102,204
androidgreen,"Android Green",#a4c639,164,198,57
antiflashwhite,"Anti-Flash White",#f2f3f4,242,243,244
antiquebrass,"Antique Brass",#cd9575,205,149,117
antiquefuchsia,"Antique Fuchsia",#915c83,145,92,131
antiqueruby,"Antique Ruby",#841b2d,132,27,45
antiquewhite,"Antique White",#faebd7,250,235,215
aoenglish,"Ao (English)",#008000,0,128,0
applegreen,"Apple Green",#8db600,141,182,0
apricot,"Apricot",#fbceb1,251,206,177
aqua,"Aqua",#0ff,0,255,255
aquamarine,"Aquamarine",#7fffd4,127,255,212
armygreen,"Army Green",#4b5320,75,83,32
arsenic,"Arsenic",#3b444b,59,68,75
arylideyellow,"Arylide Yellow",#e9d66b,233,214,107
ashgrey,"Ash Grey",#b2beb5,178,190,181
asparagus,"Asparagus",#87a96b,135,169,107
atomictangerine,"Atomic Tangerine",#f96,255,153,102
auburn,"Auburn",#a52a2a,165,42,42
aureolin,"Aureolin",#fdee00,253,238,0
aurometalsaurus,"Aurometalsaurus",#6e7f80,110,127,128
avocado,"Avocado",#568203,86,130,3
azure,"Azure",#007fff,0,127,255
azuremistweb,"Azure Mist/Web",#f0ffff,240,255,255
babyblue,"Baby Blue",#89cff0,137,207,240
babyblueeyes,"Baby Blue Eyes",#a1caf1,161,202,241
babypink,"Baby Pink",#f4c2c2,244,194,194
ballblue,"Ball Blue",#21abcd,33,171,205
bananamania,"Banana Mania",#fae7b5,250,231,181
bananayellow,"Banana Yellow",#ffe135,255,225,53
barnred,"Barn Red",#7c0a02,124,10,2
battleshipgrey,"Battleship Grey",#848482,132,132,130
bazaar,"Bazaar",#98777b,152,119,123
beaublue,"Beau Blue",#bcd4e6,188,212,230
beaver,"Beaver",#9f8170,159,129,112
beige,"Beige",#f5f5dc,245,245,220
bigdiporuby,"Big Dip O’Ruby",#9c2542,156,37,66
bisque,"Bisque",#ffe4c4,255,228,196
bistre,"Bistre",#3d2b1f,61,43,31
bittersweet,"Bittersweet",#fe6f5e,254,111,94
bittersweetshimmer,"Bittersweet Shimmer",#bf4f51,191,79,81
black,"Black",#000,0,0,0
blackbean,"Black Bean",#3d0c02,61,12,2
blackleatherjacket,"Black Leather Jacket",#253529,37,53,41
blackolive,"Black Olive",#3b3c36,59,60,54
blanchedalmond,"Blanched Almond",#ffebcd,255,235,205
blastoffbronze,"Blast-Off Bronze",#a57164,165,113,100
bleudefrance,"Bleu De France",#318ce7,49,140,231
blizzardblue,"Blizzard Blue",#ace5ee,172,229,238
blond,"Blond",#faf0be,250,240,190
blue,"Blue",#00f,0,0,255
bluebell,"Blue Bell",#a2a2d0,162,162,208
bluecrayola,"Blue (Crayola)",#1f75fe,31,117,254
bluegray,"Blue Gray",#69c,102,153,204
bluegreen,"Blue-Green",#0d98ba,13,152,186
bluemunsell,"Blue (Munsell)",#0093af,0,147,175
bluencs,"Blue (Ncs)",#0087bd,0,135,189
bluepigment,"Blue (Pigment)",#339,51,51,153
blueryb,"Blue (Ryb)",#0247fe,2,71,254
bluesapphire,"Blue Sapphire",#126180,18,97,128
blueviolet,"Blue-Violet",#8a2be2,138,43,226
blush,"Blush",#de5d83,222,93,131
bole,"Bole",#79443b,121,68,59
bondiblue,"Bondi Blue",#0095b6,0,149,182
bone,"Bone",#e3dac9,227,218,201
bostonuniversityred,"Boston University Red",#c00,204,0,0
bottlegreen,"Bottle Green",#006a4e,0,106,78
boysenberry,"Boysenberry",#873260,135,50,96
brandeisblue,"Brandeis Blue",#0070ff,0,112,255
brass,"Brass",#b5a642,181,166,66
brickred,"Brick Red",#cb4154,203,65,84
brightcerulean,"Bright Cerulean",#1dacd6,29,172,214
brightgreen,"Bright Green",#6f0,102,255,0
brightlavender,"Bright Lavender",#bf94e4,191,148,228
brightmaroon,"Bright Maroon",#c32148,195,33,72
brightpink,"Bright Pink",#ff007f,255,0,127
brightturquoise,"Bright Turquoise",#08e8de,8,232,222
brightube,"Bright Ube",#d19fe8,209,159,232
